Ref;Quantité;LIVRFINLU;TIERSLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
W000037335;1820;02/28/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2240;03/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2240;03/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2380;03/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2240;03/28/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;04/04/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;04/11/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;04/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;04/25/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;05/02/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1120;05/09/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;21110;11/18/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2660;01/03/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;01/10/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;05/16/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;05/23/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;05/30/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;06/06/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;06/13/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;06/20/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;06/27/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;07/04/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;07/11/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;07/18/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;07/25/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;08/01/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1680;08/08/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2100;08/15/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;08/22/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;2240;08/29/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1960;09/05/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1820;09/12/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
W000037335;1540;09/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;W000037335;20190101
